elapsedtime,ECG
seconds,mv
5.616,-0.16
5.62,-0.152
5.624,-0.14
5.628,-0.122
5.632,-0.13
5.636,-0.095
5.64,-0.13
5.644,-0.16
5.648,-0.147
5.652,-0.16
5.656,-0.17
5.66,-0.165
5.664,-0.155
5.668,-0.16
5.672,-0.16
5.676,-0.165
5.68,-0.133
5.684,-0.13
5.688,-0.155
5.692,-0.177
5.696,-0.177
5.7,-0.177
5.704,-0.168
5.708,-0.155
5.712,-0.17
5.716,-0.142
5.72,-0.122
5.724,-0.135
5.728,-0.142
5.732,-0.16
5.736,-0.168
5.74,-0.152
5.744,-0.145
5.748,-0.15
5.752,-0.155
5.756,-0.138
5.76,-0.13
5.764,-0.147
5.768,-0.17
5.772,-0.17
5.776,-0.147
5.78,-0.15
5.784,-0.15
5.788,-0.16
5.792,-0.147
5.796,-0.145
5.8,-0.13
5.804,-0.122
5.808,-0.122
5.812,-0.147
5.816,-0.17
5.82,-0.172
5.824,-0.168
5.828,-0.15
5.832,-0.125
5.836,-0.142
5.84,-0.175
5.844,-0.17
5.848,-0.17
5.852,-0.16
5.856,-0.18
5.86,-0.203
5.864,-0.205
5.868,-0.193
5.872,-0.172
5.876,-0.17
5.88,-0.145
5.884,-0.122
5.888,-0.085
5.892,-0.075
5.896,-0.115
5.9,-0.113
5.904,-0.065
5.908,-0.037
5.912,0.005
5.916,0.035
5.92,0.007
5.924,-0.01
5.928,-0.013
5.932,0.007
5.936,0.018
5.94,0.035
5.944,-0.003
5.948,-0.022
5.952,-0.06
5.956,-0.1
5.96,-0.152
5.964,-0.21
5.968,-0.235
5.972,-0.265
5.976,-0.24
5.98,-0.235
5.984,-0.22
5.988,-0.237
5.992,-0.258
5.996,-0.275
6,-0.27
6.004,-0.28
6.008,-0.263
6.012,-0.253
6.016,-0.285
6.02,-0.287
6.024,-0.393
6.028,-0.53
6.032,-0.637
6.036,-0.603
6.04,-0.37
6.044,0.058
6.048,0.537
6.052,1.125
6.056,1.597
6.06,1.66
6.064,1.337
6.068,0.953
6.072,0.603
6.076,0.305
6.08,0.092
6.084,-0.09
6.088,-0.172
6.092,-0.22
6.096,-0.245
6.1,-0.287
6.104,-0.253
6.108,-0.273
6.112,-0.287
6.116,-0.3
6.12,-0.305
6.124,-0.315
6.128,-0.325
6.132,-0.333
6.136,-0.333
6.14,-0.33
6.144,-0.318
6.148,-0.325
6.152,-0.325
6.156,-0.328
6.16,-0.323
6.164,-0.3
6.168,-0.31
6.172,-0.312
6.176,-0.323
6.18,-0.323
6.184,-0.323
6.188,-0.292
6.192,-0.307
6.196,-0.312
6.2,-0.3
6.204,-0.31
6.208,-0.3
6.212,-0.305
6.216,-0.31
6.22,-0.3
6.224,-0.305
6.228,-0.315
6.232,-0.3
6.236,-0.278
6.24,-0.263
6.244,-0.255
6.248,-0.24
6.252,-0.255
6.256,-0.253
6.26,-0.223
6.264,-0.22
6.268,-0.205
6.272,-0.185
6.276,-0.152
6.28,-0.122
6.284,-0.115
6.288,-0.12
6.292,-0.095
6.296,-0.065
6.3,-0.055
6.304,-0.065
6.308,-0.065
6.312,-0.052
6.316,-0.08
